iter	Passed	Remaining
401	15582	23180
402	15622	23142
403	15660	23102
404	15700	23065
405	15752	23046
406	15802	23024
407	15840	22984
408	15874	22938
409	15917	22905
410	15961	22874
411	16000	22835
412	16041	22800
413	16083	22765
414	16123	22729
415	16162	22689
416	16199	22647
417	16246	22620
418	16284	22581
419	16324	22543
420	16369	22512
421	16407	22472
422	16447	22434
423	16486	22396
424	16527	22360
425	16569	22325
426	16606	22284
427	16650	22252
428	16695	22221
429	16738	22187
430	16781	22155
431	16819	22114
432	16861	22079
433	16902	22043
434	16941	22003
435	16979	21964
436	17019	21927
437	17056	21884
438	17094	21845
439	17135	21808
440	17175	21771
441	17213	21731
442	17252	21691
443	17293	21655
444	17333	21618
445	17374	21581
446	17413	21542
447	17455	21507
448	17499	21474
449	17540	21438
450	17582	21403
451	17624	21367
452	17664	21330
453	17704	21292
454	17744	21254
455	17785	21217
456	17824	21178
457	17863	21139
458	17910	21110
459	17948	21070
460	17986	21029
461	18027	20993
462	18065	20952
463	18107	20916
464	18153	20886
465	18196	20851
466	18238	20816
467	18276	20775
468	18324	20746
469	18362	20706
470	18401	20667
471	18443	20631
472	18482	20592
473	18523	20555
474	18562	20516
475	18599	20475
476	18639	20437
477	18681	20400
478	18734	20376
479	18775	20340
480	18813	20300
481	18856	20264
482	18896	20226
483	18936	20188
484	18979	20153
485	19031	20127
486	19089	20108
487	19134	20075
488	19171	20034
489	19213	19998
490	19254	19960
491	19297	19925
492	19337	19886
493	19382	19853
494	19422	19814
495	19459	19773
496	19495	19731
497	19540	19696
498	19582	19661
499	19627	19627
500	19667	19588
501	19710	19553
502	19771	19535
503	19824	19510
504	19887	19493
505	19943	19470
506	20005	19453
507	20052	19421
508	20103	19392
509	20157	19366
510	20208	19338
511	20260	19310
512	20309	19279
513	20370	19261
514	20424	19235
515	20465	19196
516	20504	19155
517	20546	19118
518	20588	19081
519	20630	19043
520	20669	19003
521	20710	18964
522	20749	18924
523	20787	18883
524	20828	18844
525	20876	18812
526	20915	18772
527	20954	18732
528	20994	18692
529	21033	18652
530	21076	18615
531	21114	18574
532	21152	18533
533	21194	18495
534	21233	18454
535	21280	18421
536	21321	18382
537	21361	18343
538	21401	18304
539	21442	18266
540	21483	18227
541	21525	18189
542	21560	18145
543	21600	18106
544	21641	18067
545	21689	18034
546	21729	17995
547	21766	17953
548	21809	17915
549	21844	17872
550	21881	17831
551	21925	17794
552	21963	17753
553	22006	17716
554	22045	17675
555	22090	17640
556	22130	17600
557	22170	17561
558	22209	17521
559	22250	17482
560	22290	17442
561	22331	17404
562	22371	17364
563	22409	17323
564	22445	17280
565	22485	17241
566	22529	17204
567	22563	17161
568	22603	17121
569	22644	17082
570	22685	17044
571	22724	17003
572	22764	16964
573	22802	16923
574	22844	16885
575	22884	16845
576	22926	16807
577	22970	16770
578	23004	16727
579	23043	16686
580	23086	16649
581	23123	16607
582	23161	16566
583	23202	16527
584	23240	16486
585	23276	16444
586	23322	16409
587	23369	16374
588	23417	16340
589	23458	16301
590	23647	16365
591	23771	16382
592	23815	16345
593	23884	16325
594	23940	16295
595	23996	16266
596	24055	16238
597	24099	16200
598	24139	16159
599	24181	16120
600	24222	16080
601	24259	16038
602	24300	15998
603	24339	15957
604	24379	15917
605	24425	15880
606	24465	15840
607	24504	15798
608	24540	15755
609	24583	15717
610	24624	15677
611	24665	15637
612	24704	15596
613	24747	15557
614	24785	15516
615	24823	15474
616	24871	15438
617	24908	15396
618	24950	15356
619	24988	15315
620	25029	15275
621	25067	15233
622	25105	15192
623	25145	15151
624	25186	15112
625	25223	15069
626	25269	15032
627	25309	14992
628	25348	14951
629	25387	14910
630	25427	14869
631	25463	14826
632	25502	14786
633	25543	14745
634	25577	14701
635	25617	14661
636	25661	14623
637	25706	14585
638	25747	14546
639	25784	14503
640	25825	14463
641	25861	14421
642	25902	14381
643	25942	14341
644	25978	14298
645	26016	14256
646	26057	14216
647	26100	14177
648	26143	14139
649	26181	14097
650	26218	14055
651	26258	14015
652	26297	13974
653	26341	13936
654	26379	13894
655	26416	13852
656	26458	13813
657	26497	13772
658	26538	13732
659	26579	13692
660	26628	13656
661	26669	13616
662	26708	13575
663	26748	13535
664	26788	13494
665	26826	13453
666	26864	13412
667	26908	13373
668	26947	13332
669	26987	13292
670	27026	13251
671	27064	13210
672	27111	13172
673	27155	13134
674	27196	13094
675	27235	13053
676	27274	13012
677	27318	12974
678	27355	12932
679	27391	12890
680	27435	12851
681	27474	12810
682	27512	12769
683	27554	12729
684	27592	12688
685	27632	12647
686	27679	12610
687	27721	12571
688	27774	12536
689	27813	12495
690	27854	12455
691	27896	12416
692	27936	12376
693	27978	12336
694	28023	12298
695	28069	12260
696	28117	12223
697	28156	12182
698	28204	12145
699	28241	12103
700	28281	12063
701	28323	12023
702	28366	11983
703	28405	11943
704	28446	11903
705	28482	11860
706	28519	11819
707	28556	11777
708	28597	11737
709	28639	11697
710	28679	11657
711	28717	11616
712	28758	11576
713	28794	11533
714	28836	11494
715	28875	11453
716	28912	11411
717	28946	11369
718	28986	11328
719	29030	11289
720	29072	11250
721	29113	11210
722	29156	11170
723	29197	11130
724	29234	11088
725	29284	11052
726	29326	11012
727	29365	10971
728	29404	10931
729	29451	10892
730	29492	10852
731	29535	10813
732	29587	10777
733	29632	10738
734	29678	10700
735	29727	10662
736	29766	10622
737	29804	10580
738	29848	10541
739	29887	10500
740	29929	10461
741	29967	10420
742	30005	10378
743	30068	10346
744	30112	10306
745	30152	10266
746	30195	10226
747	30245	10189
748	30286	10149
749	30325	10108
750	30375	10071
751	30414	10030
752	30459	9991
753	30496	9949
754	30536	9909
755	30582	9870
756	30624	9830
757	30677	9794
758	30723	9755
759	30764	9714
760	30802	9673
761	30840	9632
762	30883	9592
763	30923	9552
764	30961	9511
765	31004	9471
766	31042	9430
767	31089	9391
768	31124	9349
769	31163	9308
770	31206	9268
771	31244	9227
772	31285	9187
773	31323	9146
774	31362	9105
775	31406	9065
776	31448	9025
777	31494	8986
778	31538	8947
779	31576	8906
780	31615	8865
781	31656	8824
782	31698	8784
783	31739	8744
784	31779	8703
785	31814	8662
786	31856	8621
787	31901	8582
788	31940	8541
789	31976	8499
790	32016	8459
791	32058	8419
792	32099	8379
793	32138	8338
794	32179	8297
795	32218	8256
796	32257	8216
797	32302	8176
798	32365	8141
799	32410	8102
800	32449	8061
801	32490	8021
802	32530	7980
803	32567	7939
804	32607	7898
805	32651	7858
806	32692	7818
807	32739	7779
808	32781	7739
809	32821	7698
810	32863	7658
811	32902	7617
812	32943	7577
813	32981	7536
814	33022	7495
815	33061	7455
816	33099	7413
817	33147	7375
818	33185	7333
819	33224	7293
820	33267	7253
821	33305	7212
822	33346	7171
823	33386	7131
824	33424	7090
825	33461	7048
826	33502	7008
827	33546	6968
828	33580	6926
829	33617	6885
830	33658	6845
831	33703	6805
832	33742	6764
833	33780	6723
834	33819	6682
835	33858	6642
836	33897	6601
837	33935	6560
838	33979	6520
839	34020	6480
840	34060	6439
841	34096	6398
842	34136	6357
843	34177	6317
844	34216	6276
845	34256	6235
846	34294	6194
847	34332	6153
848	34378	6114
849	34416	6073
850	34457	6033
851	34493	5991
852	34532	5951
853	34575	5911
854	34615	5870
855	34657	5830
856	34701	5790
857	34741	5749
858	34790	5710
859	34828	5669
860	34868	5629
861	34910	5588
862	34950	5548
863	34988	5507
864	35029	5466
865	35068	5426
866	35108	5385
867	35145	5344
868	35185	5304
869	35229	5264
870	35268	5223
871	35307	5182
872	35345	5141
873	35386	5101
874	35426	5060
875	35468	5020
876	35507	4979
877	35547	4939
878	35587	4898
879	35638	4859
880	35679	4819
881	35721	4779
882	35764	4738
883	35804	4698
884	35845	4657
885	35886	4617
886	35925	4576
887	35968	4536
888	36010	4496
889	36068	4457
890	36111	4417
891	36152	4377
892	36193	4336
893	36236	4296
894	36277	4256
895	36318	4215
896	36357	4174
897	36395	4133
898	36434	4093
899	36477	4053
900	36517	4012
901	36557	3971
902	36600	3931
903	36641	3891
904	36683	3850
905	36724	3810
906	36762	3769
907	36799	3728
908	36838	3687
909	36882	3647
910	36921	3607
911	36960	3566
912	36998	3525
913	37039	3485
914	37080	3444
915	37118	3403
916	37160	3363
917	37196	3322
918	37232	3281
919	37280	3241
920	37317	3200
921	37354	3160
922	37393	3119
923	37432	3078
924	37472	3038
925	37511	2997
926	37548	2956
927	37589	2916
928	37631	2876
929	37670	2835
930	37717	2795
931	37755	2754
932	37794	2714
933	37834	2673
934	37875	2633
935	37911	2592
936	37950	2551
937	37991	2511
938	38031	2470
939	38068	2429
940	38109	2389
941	38150	2348
942	38189	2308
943	38227	2267
944	38274	2227
945	38312	2186
946	38352	2146
947	38390	2105
948	38431	2065
949	38473	2024
950	38519	1984
951	38565	1944
952	38603	1903
953	38651	1863
954	38692	1823
955	38731	1782
956	38773	1742
957	38811	1701
958	38849	1660
959	38891	1620
960	38936	1580
961	39007	1540
962	39066	1500
963	39108	1460
964	39146	1419
965	39192	1379
966	39229	1338
967	39269	1298
968	39311	1257
969	39351	1217
970	39387	1176
971	39429	1135
972	39471	1095
973	39512	1054
974	39548	1014
975	39587	973
976	39629	932
977	39670	892
978	39710	851
979	39761	811
980	39798	770
981	39836	730
982	39877	689
983	39914	649
984	39953	608
985	39991	567
986	40026	527
987	40067	486
988	40107	446
989	40152	405
990	40188	364
991	40228	324
992	40270	283
993	40318	243
994	40360	202
995	40402	162
996	40441	121
997	40478	81
998	40519	40
999	40565	0
